glycoside hydrolases (GHs)

GH97	PF10566
GH44	PF12891
GH61	PF03443
GH114	PF03537
GH115	PF15979
GH36-Cterm	PF16874
GH36-Nterm	PF16875
GH1	PF00232
GH11	PF00457
GH3-Nterm	PF00933
GH31	PF01055
Trehalase	PF01204
GH39	PF01229
GH12	PF01670
GH3-Cterm	PF01915
GH26	PF02156
CBM6	PF03422
GH81	PF03639
GH85	PF03644
GH76	PF03663
GH43	PF04616
GH97-Nter	PF14508
GH97-Cter	PF14509
GH18	PF00704
CBM3	PF00942
GH6	PF01341
GH20-dom2	PF02838
GH67-Nterm	PF03648
GH67-Cterm	PF07477
GH67-mid	PF07488
GH65	PF14498
GH43-Cterm	PF16369
GH19	PF00182
GH28	PF00295
GH10	PF00331
GH17	PF00332
GH2	PF00703
GH16	PF00772
GH15	PF00723
GH20-cat	PF00728
GH9	PF00759
GH7	PF00840
GH38-Nterm	PF01074
GH25	PF01183
GH8	PF01270
GH35	PF01301
GH14	PF01373
GH46	PF01374
GH47	PF01532
GH48	PF02011
GH45	PF02015
GH30	PF02055
GH4	PF02056
GH59	PF02057
GH2-Cterm	PF02836
CelD-Nterm	PF02927
GH57	PF03065
CBM17/28	PF03424
GH52	PF03512
GH65-Nterm	PF03636
GH71	PF03659
GH79-Nter 	PF03662
GH62	PF03664
GH49	PF03718
ChiC	PF06483
GH38-Cterm	PF07748
GH101	PF12905
Chitin_B1	PF00187
UDPGT	PF00201
GH32-Nter	PF00251
PfkB	PF00294
GT1	PF00534
GT2	PF00535
CBM2	PF00553
GT10	PF00852
GT4	PF00953
GT9	PF01075
GT11	PF01531
CBM14	PF01607
GT25	PF01755


